№,Эмодзи,Unicode_Код,Десятичный_Код
889,🔪,U+1F52A,128298
890,🔫,U+1F52B,128299
891,🔬,U+1F52C,128300
892,🔭,U+1F52D,128301
893,🔮,U+1F52E,128302
894,🔯,U+1F52F,128303
895,🔰,U+1F530,128304
896,🔱,U+1F531,128305
897,🔲,U+1F532,128306
898,🔳,U+1F533,128307
899,🔴,U+1F534,128308
900,🔵,U+1F535,128309
901,🔶,U+1F536,128310
902,🔷,U+1F537,128311
903,🔸,U+1F538,128312
904,🔹,U+1F539,128313
905,🔺,U+1F53A,128314
906,🔻,U+1F53B,128315
907,🔼,U+1F53C,128316
908,🔽,U+1F53D,128317
909,🔾,U+1F53E,128318
910,🔿,U+1F53F,128319
911,🕀,U+1F540,128320
912,🕁,U+1F541,128321
913,🕂,U+1F542,128322
914,🕃,U+1F543,128323
915,🕄,U+1F544,128324
916,🕅,U+1F545,128325
917,🕆,U+1F546,128326
918,🕇,U+1F547,128327
919,🕈,U+1F548,128328
920,🕉,U+1F549,128329
921,🕊,U+1F54A,128330
922,🕋,U+1F54B,128331
923,🕌,U+1F54C,128332
924,🕍,U+1F54D,128333
925,🕎,U+1F54E,128334
926,🕏,U+1F54F,128335
927,🕐,U+1F550,128336
928,🕑,U+1F551,128337
929,🕒,U+1F552,128338
930,🕓,U+1F553,128339
931,🕔,U+1F554,128340
932,🕕,U+1F555,128341
933,🕖,U+1F556,128342
934,🕗,U+1F557,128343
935,🕘,U+1F558,128344
936,🕙,U+1F559,128345
937,🕚,U+1F55A,128346
938,🕛,U+1F55B,128347
939,🕜,U+1F55C,128348
940,🕝,U+1F55D,128349
941,🕞,U+1F55E,128350
942,🕟,U+1F55F,128351
943,🕠,U+1F560,128352
944,🕡,U+1F561,128353
945,🕢,U+1F562,128354
946,🕣,U+1F563,128355
947,🕤,U+1F564,128356
948,🕥,U+1F565,128357
949,🕦,U+1F566,128358
950,🕧,U+1F567,128359
951,🕨,U+1F568,128360
952,🕩,U+1F569,128361
953,🕪,U+1F56A,128362
954,🕫,U+1F56B,128363
955,🕬,U+1F56C,128364
956,🕭,U+1F56D,128365
957,🕮,U+1F56E,128366
958,🕯,U+1F56F,128367
959,🕰,U+1F570,128368
960,🕱,U+1F571,128369
961,🕲,U+1F572,128370
962,🕳,U+1F573,128371
963,🕴,U+1F574,128372
964,🕵,U+1F575,128373
965,🕶,U+1F576,128374
966,🕷,U+1F577,128375
967,🕸,U+1F578,128376
968,🕹,U+1F579,128377
969,🕺,U+1F57A,128378
970,🕻,U+1F57B,128379
971,🕼,U+1F57C,128380
972,🕽,U+1F57D,128381
973,🕾,U+1F57E,128382
974,🕿,U+1F57F,128383
975,🖀,U+1F580,128384
976,🖁,U+1F581,128385
977,🖂,U+1F582,128386
978,🖃,U+1F583,128387
979,🖄,U+1F584,128388
980,🖅,U+1F585,128389
981,🖆,U+1F586,128390
982,🖇,U+1F587,128391
983,🖈,U+1F588,128392
984,🖉,U+1F589,128393
985,🖊,U+1F58A,128394
986,🖋,U+1F58B,128395
987,🖌,U+1F58C,128396
988,🖍,U+1F58D,128397
989,🖎,U+1F58E,128398
990,🖏,U+1F58F,128399
991,🖐,U+1F590,128400
992,🖑,U+1F591,128401
993,🖒,U+1F592,128402
994,🖓,U+1F593,128403
995,🖔,U+1F594,128404
996,🖕,U+1F595,128405
997,🖖,U+1F596,128406
998,🖗,U+1F597,128407
999,🖘,U+1F598,128408
1000,🖙,U+1F599,128409
1001,🖚,U+1F59A,128410
1002,🖛,U+1F59B,128411
1003,🖜,U+1F59C,128412
1004,🖝,U+1F59D,128413
1005,🖞,U+1F59E,128414
1006,🖟,U+1F59F,128415
1007,🖠,U+1F5A0,128416
1008,🖡,U+1F5A1,128417
1009,🖢,U+1F5A2,128418
1010,🖣,U+1F5A3,128419
1011,🖤,U+1F5A4,128420
1012,🖥,U+1F5A5,128421
1013,🖦,U+1F5A6,128422
1014,🖧,U+1F5A7,128423
1015,🖨,U+1F5A8,128424
1016,🖩,U+1F5A9,128425
1017,🖪,U+1F5AA,128426
1018,🖫,U+1F5AB,128427
1019,🖬,U+1F5AC,128428
1020,🖭,U+1F5AD,128429
1021,🖮,U+1F5AE,128430
1022,🖯,U+1F5AF,128431
1023,🖰,U+1F5B0,128432
1024,🖱,U+1F5B1,128433
1025,🖲,U+1F5B2,128434
1026,🖳,U+1F5B3,128435
1027,🖴,U+1F5B4,128436
1028,🖵,U+1F5B5,128437
1029,🖶,U+1F5B6,128438
1030,🖷,U+1F5B7,128439
1031,🖸,U+1F5B8,128440
1032,🖹,U+1F5B9,128441
1033,🖺,U+1F5BA,128442
1034,🖻,U+1F5BB,128443
1035,🖼,U+1F5BC,128444
1036,🖽,U+1F5BD,128445
1037,🖾,U+1F5BE,128446
1038,🖿,U+1F5BF,128447
1039,🗀,U+1F5C0,128448
1040,🗁,U+1F5C1,128449
1041,🗂,U+1F5C2,128450
1042,🗃,U+1F5C3,128451
1043,🗄,U+1F5C4,128452
1044,🗅,U+1F5C5,128453
1045,🗆,U+1F5C6,128454
1046,🗇,U+1F5C7,128455
1047,🗈,U+1F5C8,128456
1048,🗉,U+1F5C9,128457
1049,🗊,U+1F5CA,128458
1050,🗋,U+1F5CB,128459
1051,🗌,U+1F5CC,128460
1052,🗍,U+1F5CD,128461
1053,🗎,U+1F5CE,128462
1054,🗏,U+1F5CF,128463
1055,🗐,U+1F5D0,128464
1056,🗑,U+1F5D1,128465
1057,🗒,U+1F5D2,128466
1058,🗓,U+1F5D3,128467
1059,🗔,U+1F5D4,128468
1060,🗕,U+1F5D5,128469
1061,🗖,U+1F5D6,128470
1062,🗗,U+1F5D7,128471
1063,🗘,U+1F5D8,128472
1064,🗙,U+1F5D9,128473
1065,🗚,U+1F5DA,128474
1066,🗛,U+1F5DB,128475
1067,🗜,U+1F5DC,128476
1068,🗝,U+1F5DD,128477
1069,🗞,U+1F5DE,128478
1070,🗟,U+1F5DF,128479
1071,🗠,U+1F5E0,128480
1072,🗡,U+1F5E1,128481
1073,🗢,U+1F5E2,128482
1074,🗣,U+1F5E3,128483
1075,🗤,U+1F5E4,128484
1076,🗥,U+1F5E5,128485
1077,🗦,U+1F5E6,128486
1078,🗧,U+1F5E7,128487
1079,🗨,U+1F5E8,128488
1080,🗩,U+1F5E9,128489
1081,🗪,U+1F5EA,128490
1082,🗫,U+1F5EB,128491
1083,🗬,U+1F5EC,128492
1084,🗭,U+1F5ED,128493
1085,🗮,U+1F5EE,128494
1086,🗯,U+1F5EF,128495
1087,🗰,U+1F5F0,128496
1088,🗱,U+1F5F1,128497
1089,🗲,U+1F5F2,128498
1090,🗳,U+1F5F3,128499
1091,🗴,U+1F5F4,128500
1092,🗵,U+1F5F5,128501
1093,🗶,U+1F5F6,128502
1094,🗷,U+1F5F7,128503
1095,🗸,U+1F5F8,128504
1096,🗹,U+1F5F9,128505
1097,🗺,U+1F5FA,128506
1098,🗻,U+1F5FB,128507
1099,🗼,U+1F5FC,128508
1100,🗽,U+1F5FD,128509
1101,🗾,U+1F5FE,128510
1102,🌭,U+1F32D,127789
1103,🌮,U+1F32E,127790
1104,🌯,U+1F32F,127791
1105,🌰,U+1F330,127792
1106,🌱,U+1F331,127793
1107,🌲,U+1F332,127794
1108,🌳,U+1F333,127795
1109,🌴,U+1F334,127796
1110,🌵,U+1F335,127797
1111,🌶,U+1F336,127798
1112,🌷,U+1F337,127799
1113,🌸,U+1F338,127800
1114,🌹,U+1F339,127801
1115,🌺,U+1F33A,127802
1116,🌻,U+1F33B,127803
1117,🌼,U+1F33C,127804
1118,🌽,U+1F33D,127805
1119,🌾,U+1F33E,127806
1120,🌿,U+1F33F,127807
1121,🍀,U+1F340,127808
1122,🍁,U+1F341,127809
1123,🍂,U+1F342,127810
1124,🍃,U+1F343,127811
1125,🍄,U+1F344,127812
1126,🍅,U+1F345,127813
1127,🍆,U+1F346,127814
1128,🍇,U+1F347,127815
1129,🍈,U+1F348,127816
1130,🍉,U+1F349,127817
1131,🍊,U+1F34A,127818
1132,🍋,U+1F34B,127819
1133,🍌,U+1F34C,127820
1134,🍍,U+1F34D,127821
1135,🍎,U+1F34E,127822
1136,🍏,U+1F34F,127823
1137,🍐,U+1F350,127824
1138,🍑,U+1F351,127825
1139,🍒,U+1F352,127826
1140,🍓,U+1F353,127827
1141,🍔,U+1F354,127828
1142,🍕,U+1F355,127829
1143,🍖,U+1F356,127830
1144,🍗,U+1F357,127831
1145,🍘,U+1F358,127832
1146,🍙,U+1F359,127833
1147,🍚,U+1F35A,127834
1148,🍛,U+1F35B,127835
1149,🍜,U+1F35C,127836
1150,🍝,U+1F35D,127837
1151,🍞,U+1F35E,127838
1152,🍟,U+1F35F,127839
1153,🍠,U+1F360,127840
1154,🍡,U+1F361,127841
1155,🍢,U+1F362,127842
1156,🍣,U+1F363,127843
1157,🍤,U+1F364,127844
1158,🍥,U+1F365,127845
1159,🍦,U+1F366,127846
1160,🍧,U+1F367,127847
1161,🍨,U+1F368,127848
1162,🍩,U+1F369,127849
1163,🍪,U+1F36A,127850
1164,🍫,U+1F36B,127851
1165,🍬,U+1F36C,127852
1166,🍭,U+1F36D,127853
1167,🍮,U+1F36E,127854
1168,🍯,U+1F36F,127855
1169,🍰,U+1F370,127856
1170,🍱,U+1F371,127857
1171,🍲,U+1F372,127858
1172,🍳,U+1F373,127859
1173,🍴,U+1F374,127860
1174,🍵,U+1F375,127861
1175,🍶,U+1F376,127862
1176,🍷,U+1F377,127863
1177,🍸,U+1F378,127864
1178,🍹,U+1F379,127865
1179,🍺,U+1F37A,127866
1180,🍻,U+1F37B,127867
1181,🍼,U+1F37C,127868
1182,🍽,U+1F37D,127869
1183,🍾,U+1F37E,127870
1184,🚀,U+1F680,128640
1185,🚁,U+1F681,128641
1186,🚂,U+1F682,128642
1187,🚃,U+1F683,128643
1188,🚄,U+1F684,128644
1189,🚅,U+1F685,128645
1190,🚆,U+1F686,128646
1191,🚇,U+1F687,128647
1192,🚈,U+1F688,128648
1193,🚉,U+1F689,128649
1194,🚊,U+1F68A,128650
1195,🚋,U+1F68B,128651
1196,🚌,U+1F68C,128652
1197,🚍,U+1F68D,128653
1198,🚎,U+1F68E,128654
1199,🚏,U+1F68F,128655
1200,🚐,U+1F690,128656
1201,🚑,U+1F691,128657
1202,🚒,U+1F692,128658
1203,🚓,U+1F693,128659
1204,🚔,U+1F694,128660
1205,🚕,U+1F695,128661
1206,🚖,U+1F696,128662
1207,🚗,U+1F697,128663
1208,🚘,U+1F698,128664
1209,🚙,U+1F699,128665
1210,🚚,U+1F69A,128666
1211,🚛,U+1F69B,128667
1212,🚜,U+1F69C,128668
1213,🚝,U+1F69D,128669
1214,🚞,U+1F69E,128670
1215,🚟,U+1F69F,128671
1216,🚠,U+1F6A0,128672
1217,🚡,U+1F6A1,128673
1218,🚢,U+1F6A2,128674
1219,🚣,U+1F6A3,128675
1220,🚤,U+1F6A4,128676
1221,🚥,U+1F6A5,128677
1222,🚦,U+1F6A6,128678
1223,🚧,U+1F6A7,128679
1224,🚨,U+1F6A8,128680
1225,🚩,U+1F6A9,128681
1226,🚪,U+1F6AA,128682
1227,🚫,U+1F6AB,128683
1228,🚬,U+1F6AC,128684
1229,🚭,U+1F6AD,128685
1230,🚮,U+1F6AE,128686
1231,🚯,U+1F6AF,128687
1232,🚰,U+1F6B0,128688
1233,🚱,U+1F6B1,128689
1234,🚲,U+1F6B2,128690
1235,🚳,U+1F6B3,128691
1236,🚴,U+1F6B4,128692
1237,🚵,U+1F6B5,128693
1238,🚶,U+1F6B6,128694
1239,🚷,U+1F6B7,128695
1240,🚸,U+1F6B8,128696
1241,🚹,U+1F6B9,128697
1242,🚺,U+1F6BA,128698
1243,🚻,U+1F6BB,128699
1244,🚼,U+1F6BC,128700
1245,🚽,U+1F6BD,128701
1246,🚾,U+1F6BE,128702
1247,🚿,U+1F6BF,128703
1248,🛀,U+1F6C0,128704
1249,🛁,U+1F6C1,128705
1250,🛂,U+1F6C2,128706
1251,🛃,U+1F6C3,128707
1252,🛄,U+1F6C4,128708
1253,🛅,U+1F6C5,128709
1254,🛆,U+1F6C6,128710
1255,🛇,U+1F6C7,128711
1256,🛈,U+1F6C8,128712
1257,🛉,U+1F6C9,128713
1258,🛊,U+1F6CA,128714
1259,🛋,U+1F6CB,128715
1260,🛌,U+1F6CC,128716
1261,🛍,U+1F6CD,128717
1262,🛎,U+1F6CE,128718
1263,🛏,U+1F6CF,128719
1264,🛐,U+1F6D0,128720
1265,🛑,U+1F6D1,128721
1266,🛒,U+1F6D2,128722
1267,🛓,U+1F6D3,128723
1268,🛔,U+1F6D4,128724
1269,🛕,U+1F6D5,128725
1270,🛖,U+1F6D6,128726
1271,🛗,U+1F6D7,128727
1272,🛝,U+1F6DD,128733
1273,🛞,U+1F6DE,128734
1274,🛟,U+1F6DF,128735
1275,🛠,U+1F6E0,128736
1276,🛡,U+1F6E1,128737
1277,🛢,U+1F6E2,128738
1278,🛣,U+1F6E3,128739
1279,🛤,U+1F6E4,128740
1280,🛥,U+1F6E5,128741
1281,🛦,U+1F6E6,128742
1282,🛧,U+1F6E7,128743
1283,🛨,U+1F6E8,128744
1284,🛩,U+1F6E9,128745
1285,🛪,U+1F6EA,128746
1286,🛫,U+1F6EB,128747
1287,🛬,U+1F6EC,128748
1288,🛰,U+1F6F0,128752
1289,🛱,U+1F6F1,128753
1290,🛲,U+1F6F2,128754
1291,🛳,U+1F6F3,128755
1292,🛴,U+1F6F4,128756
1293,🛵,U+1F6F5,128757
1294,🛶,U+1F6F6,128758
1295,🛷,U+1F6F7,128759
1296,🛸,U+1F6F8,128760
1297,🛹,U+1F6F9,128761
1298,🛺,U+1F6FA,128762
1299,🛻,U+1F6FB,128763
1300,🛼,U+1F6FC,128764
1301,🚀,U+1F680,128640
1302,🚁,U+1F681,128641
1303,🚂,U+1F682,128642
1304,🚃,U+1F683,128643
1305,🚄,U+1F684,128644
1306,🚅,U+1F685,128645
1307,🚆,U+1F686,128646
1308,🚇,U+1F687,128647
1309,🚈,U+1F688,128648
1310,🚉,U+1F689,128649
1311,🚊,U+1F68A,128650
1312,🚋,U+1F68B,128651
1313,🚌,U+1F68C,128652
1314,🚍,U+1F68D,128653
1315,🚎,U+1F68E,128654
1316,🚏,U+1F68F,128655
1317,🚐,U+1F690,128656
1318,🚑,U+1F691,128657
1319,🚒,U+1F692,128658
1320,🚓,U+1F693,128659
1321,🚔,U+1F694,128660
1322,🚕,U+1F695,128661
1323,🚖,U+1F696,128662
1324,🚗,U+1F697,128663
1325,🚘,U+1F698,128664
1326,🚙,U+1F699,128665
1327,🚚,U+1F69A,128666
1328,🚛,U+1F69B,128667
1329,🚜,U+1F69C,128668
1330,🚝,U+1F69D,128669
1331,🚞,U+1F69E,128670
1332,🚟,U+1F69F,128671
1333,🚠,U+1F6A0,128672
1334,🚡,U+1F6A1,128673
1335,🚢,U+1F6A2,128674
1336,🚣,U+1F6A3,128675
1337,🚤,U+1F6A4,128676
1338,🚥,U+1F6A5,128677
1339,🚦,U+1F6A6,128678
1340,🚧,U+1F6A7,128679
1341,🚨,U+1F6A8,128680
1342,🚩,U+1F6A9,128681
1343,🚪,U+1F6AA,128682
1344,🚫,U+1F6AB,128683
1345,🚬,U+1F6AC,128684
1346,🚭,U+1F6AD,128685
1347,🚮,U+1F6AE,128686
1348,🚯,U+1F6AF,128687
1349,🚰,U+1F6B0,128688
1350,🚱,U+1F6B1,128689
1351,🚲,U+1F6B2,128690
1352,🚳,U+1F6B3,128691
1353,🚴,U+1F6B4,128692
1354,🚵,U+1F6B5,128693
1355,🚶,U+1F6B6,128694
1356,🚷,U+1F6B7,128695
1357,🚸,U+1F6B8,128696
1358,🚹,U+1F6B9,128697
1359,🚺,U+1F6BA,128698
1360,🚻,U+1F6BB,128699
1361,🚼,U+1F6BC,128700
1362,🚽,U+1F6BD,128701
1363,🚾,U+1F6BE,128702
1364,🚿,U+1F6BF,128703
1365,🛀,U+1F6C0,128704
1366,🛁,U+1F6C1,128705
1367,🛂,U+1F6C2,128706
1368,🛃,U+1F6C3,128707
1369,🛄,U+1F6C4,128708
1370,🛅,U+1F6C5,128709
1371,🛆,U+1F6C6,128710
1372,🛇,U+1F6C7,128711
1373,🛈,U+1F6C8,128712
1374,🛉,U+1F6C9,128713
1375,🛊,U+1F6CA,128714
1376,🛋,U+1F6CB,128715
1377,🛌,U+1F6CC,128716
1378,🛍,U+1F6CD,128717
1379,🛎,U+1F6CE,128718
1380,🛏,U+1F6CF,128719
1381,🛐,U+1F6D0,128720
1382,🛑,U+1F6D1,128721
1383,🛒,U+1F6D2,128722
1384,🛓,U+1F6D3,128723
1385,🛔,U+1F6D4,128724
1386,🛕,U+1F6D5,128725
1387,🛖,U+1F6D6,128726
1388,🛗,U+1F6D7,128727
1389,🛝,U+1F6DD,128733
1390,🛞,U+1F6DE,128734
1391,🛟,U+1F6DF,128735
1392,🛠,U+1F6E0,128736
1393,🛡,U+1F6E1,128737
1394,🛢,U+1F6E2,128738
1395,🛣,U+1F6E3,128739
1396,🛤,U+1F6E4,128740
1397,🛥,U+1F6E5,128741
1398,🛦,U+1F6E6,128742
1399,🛧,U+1F6E7,128743
1400,🛨,U+1F6E8,128744
1401,🛩,U+1F6E9,128745
1402,🛪,U+1F6EA,128746
1403,🛫,U+1F6EB,128747
1404,🛬,U+1F6EC,128748
1405,🛰,U+1F6F0,128752
1406,🛱,U+1F6F1,128753
1407,🛲,U+1F6F2,128754
1408,🛳,U+1F6F3,128755
1409,🛴,U+1F6F4,128756
1410,🛵,U+1F6F5,128757
1411,🛶,U+1F6F6,128758
1412,🛷,U+1F6F7,128759
1413,🛸,U+1F6F8,128760
1414,🛹,U+1F6F9,128761
1415,🛺,U+1F6FA,128762
1416,🛻,U+1F6FB,128763
1417,🛼,U+1F6FC,128764
1418,☀,U+2600,9728
1419,☁,U+2601,9729
1420,☂,U+2602,9730
1421,☃,U+2603,9731
1422,☄,U+2604,9732
1423,★,U+2605,9733
1424,☆,U+2606,9734
1425,☇,U+2607,9735
1426,☈,U+2608,9736
1427,☉,U+2609,9737
1428,☊,U+260A,9738
1429,☋,U+260B,9739
1430,☌,U+260C,9740
1431,☍,U+260D,9741
1432,☎,U+260E,9742
1433,☏,U+260F,9743
1434,☐,U+2610,9744
1435,☑,U+2611,9745
1436,☒,U+2612,9746
1437,☓,U+2613,9747
1438,☔,U+2614,9748
1439,☕,U+2615,9749
1440,☖,U+2616,9750
1441,☗,U+2617,9751
1442,☘,U+2618,9752
1443,☙,U+2619,9753
1444,☚,U+261A,9754
1445,☛,U+261B,9755
1446,☜,U+261C,9756
1447,☝,U+261D,9757
1448,☞,U+261E,9758
1449,☟,U+261F,9759
1450,☠,U+2620,9760
1451,☡,U+2621,9761
1452,☢,U+2622,9762
1453,☣,U+2623,9763
1454,☤,U+2624,9764
1455,☥,U+2625,9765
1456,☦,U+2626,9766
1457,☧,U+2627,9767
1458,☨,U+2628,9768
1459,☩,U+2629,9769
1460,☪,U+262A,9770
1461,☫,U+262B,9771
1462,☬,U+262C,9772
1463,☭,U+262D,9773
1464,☮,U+262E,9774
1465,☯,U+262F,9775
1466,☰,U+2630,9776
1467,☱,U+2631,9777
1468,☲,U+2632,9778
1469,☳,U+2633,9779
1470,☴,U+2634,9780
1471,☵,U+2635,9781
1472,☶,U+2636,9782
1473,☷,U+2637,9783
1474,☸,U+2638,9784
1475,☹,U+2639,9785
1476,☺,U+263A,9786
1477,☻,U+263B,9787
1478,☼,U+263C,9788
1479,☽,U+263D,9789
1480,☾,U+263E,9790
1481,☿,U+263F,9791
1482,♀,U+2640,9792
1483,♁,U+2641,9793
1484,♂,U+2642,9794
1485,♃,U+2643,9795
1486,♄,U+2644,9796
1487,♅,U+2645,9797
1488,♆,U+2646,9798
1489,♇,U+2647,9799
1490,♈,U+2648,9800
1491,♉,U+2649,9801
1492,♊,U+264A,9802
1493,♋,U+264B,9803
1494,♌,U+264C,9804
1495,♍,U+264D,9805
1496,♎,U+264E,9806
1497,♏,U+264F,9807
1498,♐,U+2650,9808
1499,♑,U+2651,9809
1500,♒,U+2652,9810
1501,♓,U+2653,9811
1502,♔,U+2654,9812
1503,♕,U+2655,9813
1504,♖,U+2656,9814
1505,♗,U+2657,9815
1506,♘,U+2658,9816
1507,♙,U+2659,9817
1508,♚,U+265A,9818
1509,♛,U+265B,9819
1510,♜,U+265C,9820
1511,♝,U+265D,9821
1512,♞,U+265E,9822
1513,♟,U+265F,9823
1514,♠,U+2660,9824
1515,♡,U+2661,9825
1516,♢,U+2662,9826
1517,♣,U+2663,9827
1518,♤,U+2664,9828
1519,♥,U+2665,9829
1520,♦,U+2666,9830
1521,♧,U+2667,9831
1522,♨,U+2668,9832
1523,♩,U+2669,9833
1524,♪,U+266A,9834
1525,♫,U+266B,9835
1526,♬,U+266C,9836
1527,♭,U+266D,9837
1528,♮,U+266E,9838
1529,♯,U+266F,9839
1530,♰,U+2670,9840
1531,♱,U+2671,9841
1532,♲,U+2672,9842
1533,♳,U+2673,9843
1534,♴,U+2674,9844
1535,♵,U+2675,9845
1536,♶,U+2676,9846
1537,♷,U+2677,9847
1538,♸,U+2678,9848
1539,♹,U+2679,9849
1540,♺,U+267A,9850
1541,♻,U+267B,9851
1542,♼,U+267C,9852
1543,♽,U+267D,9853
1544,♾,U+267E,9854
1545,♿,U+267F,9855
1546,⚀,U+2680,9856
1547,⚁,U+2681,9857
1548,⚂,U+2682,9858
1549,⚃,U+2683,9859
1550,⚄,U+2684,9860
1551,⚅,U+2685,9861
1552,⚆,U+2686,9862
1553,⚇,U+2687,9863
1554,⚈,U+2688,9864
1555,⚉,U+2689,9865
1556,⚊,U+268A,9866
1557,⚋,U+268B,9867
1558,⚌,U+268C,9868
1559,⚍,U+268D,9869
1560,⚎,U+268E,9870
1561,⚏,U+268F,9871
1562,⚐,U+2690,9872
1563,⚑,U+2691,9873
1564,⚒,U+2692,9874
1565,⚓,U+2693,9875
1566,⚔,U+2694,9876
1567,⚕,U+2695,9877
1568,⚖,U+2696,9878
1569,⚗,U+2697,9879
1570,⚘,U+2698,9880
1571,⚙,U+2699,9881
1572,⚚,U+269A,9882
1573,⚛,U+269B,9883
1574,⚜,U+269C,9884
1575,⚝,U+269D,9885
1576,⚞,U+269E,9886
1577,⚟,U+269F,9887
1578,⚠,U+26A0,9888
1579,⚡,U+26A1,9889
1580,⚢,U+26A2,9890
1581,⚣,U+26A3,9891
1582,⚤,U+26A4,9892
1583,⚥,U+26A5,9893
1584,⚦,U+26A6,9894
1585,⚧,U+26A7,9895
1586,⚨,U+26A8,9896
1587,⚩,U+26A9,9897
1588,⚪,U+26AA,9898
1589,⚫,U+26AB,9899
1590,⚬,U+26AC,9900
1591,⚭,U+26AD,9901
1592,⚮,U+26AE,9902
1593,⚯,U+26AF,9903
1594,⚰,U+26B0,9904
1595,⚱,U+26B1,9905
1596,⚲,U+26B2,9906
1597,⚳,U+26B3,9907
1598,⚴,U+26B4,9908
1599,⚵,U+26B5,9909
1600,⚶,U+26B6,9910
1601,⚷,U+26B7,9911
1602,⚸,U+26B8,9912
1603,⚹,U+26B9,9913
1604,⚺,U+26BA,9914
1605,⚻,U+26BB,9915
1606,⚼,U+26BC,9916
1607,⚽,U+26BD,9917
1608,⚾,U+26BE,9918
1609,⚿,U+26BF,9919
1610,⛀,U+26C0,9920
1611,⛁,U+26C1,9921
1612,⛂,U+26C2,9922
1613,⛃,U+26C3,9923
1614,⛄,U+26C4,9924
1615,⛅,U+26C5,9925
1616,⛆,U+26C6,9926
1617,⛇,U+26C7,9927
1618,⛈,U+26C8,9928
1619,⛉,U+26C9,9929
1620,⛊,U+26CA,9930
1621,⛋,U+26CB,9931
1622,⛌,U+26CC,9932
1623,⛍,U+26CD,9933
1624,⛎,U+26CE,9934
1625,⛏,U+26CF,9935
1626,⛐,U+26D0,9936
1627,⛑,U+26D1,9937
1628,⛒,U+26D2,9938
1629,⛓,U+26D3,9939
1630,⛔,U+26D4,9940
1631,⛕,U+26D5,9941
1632,⛖,U+26D6,9942
1633,⛗,U+26D7,9943
1634,⛘,U+26D8,9944
1635,⛙,U+26D9,9945
1636,⛚,U+26DA,9946
1637,⛛,U+26DB,9947
1638,⛜,U+26DC,9948
1639,⛝,U+26DD,9949
1640,⛞,U+26DE,9950
1641,⛟,U+26DF,9951
1642,⛠,U+26E0,9952
1643,⛡,U+26E1,9953
1644,⛢,U+26E2,9954
1645,⛣,U+26E3,9955
1646,⛤,U+26E4,9956
1647,⛥,U+26E5,9957
1648,⛦,U+26E6,9958
1649,⛧,U+26E7,9959
1650,⛨,U+26E8,9960
1651,⛩,U+26E9,9961
1652,⛪,U+26EA,9962
1653,⛫,U+26EB,9963
1654,⛬,U+26EC,9964
1655,⛭,U+26ED,9965
1656,⛮,U+26EE,9966
1657,⛯,U+26EF,9967
1658,⛰,U+26F0,9968
1659,⛱,U+26F1,9969
1660,⛲,U+26F2,9970
1661,⛳,U+26F3,9971
1662,⛴,U+26F4,9972
1663,⛵,U+26F5,9973
1664,⛶,U+26F6,9974
1665,⛷,U+26F7,9975
1666,⛸,U+26F8,9976
1667,⛹,U+26F9,9977
1668,⛺,U+26FA,9978
1669,⛻,U+26FB,9979
1670,⛼,U+26FC,9980
1671,⛽,U+26FD,9981
1672,⛾,U+26FE,9982
1673,■,U+25A0,9632
1674,□,U+25A1,9633
1675,▢,U+25A2,9634
1676,▣,U+25A3,9635
1677,▤,U+25A4,9636
1678,▥,U+25A5,9637
1679,▦,U+25A6,9638
1680,▧,U+25A7,9639
1681,▨,U+25A8,9640
1682,▩,U+25A9,9641
1683,▪,U+25AA,9642
1684,▫,U+25AB,9643
1685,▬,U+25AC,9644
1686,▭,U+25AD,9645
1687,▮,U+25AE,9646
1688,▯,U+25AF,9647
1689,▰,U+25B0,9648
1690,▱,U+25B1,9649
1691,▲,U+25B2,9650
1692,△,U+25B3,9651
1693,▴,U+25B4,9652
1694,▵,U+25B5,9653
1695,▶,U+25B6,9654
1696,▷,U+25B7,9655
1697,▸,U+25B8,9656
1698,▹,U+25B9,9657
1699,►,U+25BA,9658
1700,▻,U+25BB,9659
1701,▼,U+25BC,9660
1702,▽,U+25BD,9661
1703,▾,U+25BE,9662
1704,▿,U+25BF,9663
1705,◀,U+25C0,9664
1706,◁,U+25C1,9665
1707,◂,U+25C2,9666
1708,◃,U+25C3,9667
1709,◄,U+25C4,9668
1710,◅,U+25C5,9669
1711,◆,U+25C6,9670
1712,◇,U+25C7,9671
1713,◈,U+25C8,9672
1714,◉,U+25C9,9673
1715,◊,U+25CA,9674
1716,○,U+25CB,9675
1717,◌,U+25CC,9676
1718,◍,U+25CD,9677
1719,◎,U+25CE,9678
1720,●,U+25CF,9679
1721,◐,U+25D0,9680
1722,◑,U+25D1,9681
1723,◒,U+25D2,9682
1724,◓,U+25D3,9683
1725,◔,U+25D4,9684
1726,◕,U+25D5,9685
1727,◖,U+25D6,9686
1728,◗,U+25D7,9687
1729,◘,U+25D8,9688
1730,◙,U+25D9,9689
1731,◚,U+25DA,9690
1732,◛,U+25DB,9691
1733,◜,U+25DC,9692
1734,◝,U+25DD,9693
1735,◞,U+25DE,9694
1736,◟,U+25DF,9695
1737,◠,U+25E0,9696
1738,◡,U+25E1,9697
1739,◢,U+25E2,9698
1740,◣,U+25E3,9699
1741,◤,U+25E4,9700
1742,◥,U+25E5,9701
1743,◦,U+25E6,9702
1744,◧,U+25E7,9703
1745,◨,U+25E8,9704
1746,◩,U+25E9,9705
1747,◪,U+25EA,9706
1748,◫,U+25EB,9707
1749,◬,U+25EC,9708
1750,◭,U+25ED,9709
1751,◮,U+25EE,9710
1752,◯,U+25EF,9711
