№,Эмодзи,Unicode_Код,Десятичный_Код
211,🦃,U+1F983,129411
212,🦄,U+1F984,129412
213,🦅,U+1F985,129413
214,🦆,U+1F986,129414
215,🦇,U+1F987,129415
216,🦈,U+1F988,129416
217,🦉,U+1F989,129417
218,🦊,U+1F98A,129418
219,🦋,U+1F98B,129419
220,🦌,U+1F98C,129420
221,🦍,U+1F98D,129421
222,🦎,U+1F98E,129422
223,🦏,U+1F98F,129423
224,🦐,U+1F990,129424
225,🦑,U+1F991,129425
226,🦒,U+1F992,129426
227,🦓,U+1F993,129427
228,🦔,U+1F994,129428
229,🦕,U+1F995,129429
230,🦖,U+1F996,129430
231,🦗,U+1F997,129431
232,🦘,U+1F998,129432
233,🦙,U+1F999,129433
234,🦚,U+1F99A,129434
235,🦛,U+1F99B,129435
236,🦜,U+1F99C,129436
237,🦝,U+1F99D,129437
238,🦞,U+1F99E,129438
239,🦟,U+1F99F,129439
240,🦠,U+1F9A0,129440
241,🦡,U+1F9A1,129441
242,🦢,U+1F9A2,129442
243,🦣,U+1F9A3,129443
244,🦤,U+1F9A4,129444
245,🦥,U+1F9A5,129445
246,🦦,U+1F9A6,129446
247,🦧,U+1F9A7,129447
248,🦨,U+1F9A8,129448
249,🦩,U+1F9A9,129449
250,🦪,U+1F9AA,129450
251,🦫,U+1F9AB,129451
252,🦬,U+1F9AC,129452
253,🦭,U+1F9AD,129453
254,🦮,U+1F9AE,129454
255,🦯,U+1F9AF,129455
256,🦰,U+1F9B0,129456
257,🦱,U+1F9B1,129457
258,🦲,U+1F9B2,129458
259,🦳,U+1F9B3,129459
260,🦴,U+1F9B4,129460
261,🦵,U+1F9B5,129461
262,🦶,U+1F9B6,129462
263,🦷,U+1F9B7,129463
264,🦸,U+1F9B8,129464
265,🦹,U+1F9B9,129465
266,🦺,U+1F9BA,129466
267,🦻,U+1F9BB,129467
268,🦼,U+1F9BC,129468
269,🦽,U+1F9BD,129469
270,🦾,U+1F9BE,129470
271,🦿,U+1F9BF,129471
272,🧀,U+1F9C0,129472
273,🧁,U+1F9C1,129473
274,🧂,U+1F9C2,129474
275,🧃,U+1F9C3,129475
276,🧄,U+1F9C4,129476
277,🧅,U+1F9C5,129477
278,🧆,U+1F9C6,129478
279,🧇,U+1F9C7,129479
280,🧈,U+1F9C8,129480
281,🧉,U+1F9C9,129481
